iter	Passed	Remaining
612	1230	776
613	1231	774
614	1233	772
615	1235	770
616	1237	767
617	1238	765
618	1239	763
619	1241	760
620	1242	758
621	1243	755
622	1245	753
623	1246	751
624	1248	748
625	1249	746
626	1250	744
627	1251	741
628	1253	739
629	1254	736
630	1255	734
631	1256	731
632	1258	729
633	1259	727
634	1260	724
635	1262	722
636	1263	720
637	1265	717
638	1266	715
639	1267	713
640	1269	710
641	1270	708
642	1271	706
643	1273	703
644	1274	701
645	1277	700
646	1279	698
647	1281	695
648	1283	693
649	1284	691
650	1286	689
651	1287	687
652	1289	685
653	1291	683
654	1292	680
655	1294	678
656	1295	676
657	1297	674
658	1299	672
659	1300	669
660	1302	667
661	1304	666
662	1306	664
663	1308	662
664	1309	659
665	1311	657
666	1312	655
667	1314	653
668	1315	650
669	1317	648
670	1318	646
671	1319	644
672	1321	641
673	1322	639
674	1324	637
675	1325	635
676	1326	633
677	1328	630
678	1330	628
679	1331	626
680	1332	624
681	1334	622
682	1335	619
683	1337	617
684	1338	615
685	1340	613
686	1341	611
687	1343	609
688	1346	607
689	1348	605
690	1350	603
691	1351	601
692	1353	599
693	1355	597
694	1357	595
695	1358	593
696	1360	591
697	1361	589
698	1362	586
699	1364	584
700	1365	582
701	1367	580
702	1369	578
703	1372	577
704	1373	574
705	1375	572
706	1377	570
707	1378	568
708	1380	566
709	1382	564
710	1384	562
711	1386	560
712	1387	558
713	1389	556
714	1390	554
715	1392	552
716	1393	550
717	1396	548
718	1398	546
719	1399	544
720	1401	542
721	1402	540
722	1404	538
723	1405	535
724	1407	533
725	1409	532
726	1412	530
727	1414	528
728	1416	526
729	1417	524
730	1419	522
731	1420	520
732	1422	518
733	1424	516
734	1425	514
735	1427	512
736	1428	509
737	1430	507
738	1432	505
739	1433	503
740	1435	501
741	1438	500
742	1440	498
743	1442	496
744	1443	494
745	1446	492
746	1447	490
747	1450	488
748	1452	486
749	1453	484
750	1454	482
751	1456	480
752	1458	478
753	1459	476
754	1461	474
755	1463	472
756	1465	470
757	1467	468
758	1468	466
759	1470	464
760	1472	462
761	1473	460
762	1474	458
763	1476	456
764	1478	454
765	1480	452
766	1481	450
767	1483	448
768	1484	446
769	1486	443
770	1487	441
771	1490	440
772	1492	438
773	1494	436
774	1495	434
775	1497	432
776	1499	430
777	1500	428
778	1502	426
779	1503	424
780	1505	422
781	1507	420
782	1508	418
783	1509	415
784	1511	413
785	1512	411
786	1514	409
787	1515	407
788	1517	405
789	1520	404
790	1522	402
791	1523	400
792	1525	398
793	1526	396
794	1528	394
795	1530	392
796	1532	390
797	1534	388
798	1535	386
799	1537	384
800	1538	382
801	1540	380
802	1541	378
803	1543	376
804	1545	374
805	1547	372
806	1549	370
807	1551	368
808	1552	366
809	1554	364
810	1556	362
811	1557	360
812	1559	358
813	1561	356
814	1562	354
815	1563	352
816	1565	350
817	1566	348
818	1568	346
819	1569	344
820	1571	342
821	1573	340
822	1575	338
823	1576	336
824	1578	334
825	1579	332
826	1581	330
827	1582	328
828	1584	326
829	1585	324
830	1588	323
831	1590	321
832	1591	319
833	1593	317
834	1594	315
835	1596	313
836	1597	311
837	1599	309
838	1603	307
839	1604	305
840	1606	303
841	1607	301
842	1609	299
843	1610	297
844	1612	295
845	1615	293
846	1616	292
847	1618	290
848	1619	288
849	1621	286
850	1622	284
851	1624	282
852	1625	280
853	1627	278
854	1630	276
855	1631	274
856	1633	272
857	1635	270
858	1637	268
859	1638	266
860	1640	264
861	1644	263
862	1646	261
863	1649	259
864	1651	257
865	1654	255
866	1657	254
867	1660	252
868	1662	250
869	1663	248
870	1665	246
871	1666	244
872	1668	242
873	1670	240
874	1672	238
875	1675	237
876	1677	235
877	1680	233
878	1683	231
879	1685	229
880	1688	228
881	1690	226
882	1692	224
883	1693	222
884	1695	220
885	1697	218
886	1699	216
887	1701	214
888	1702	212
889	1704	210
890	1706	208
891	1707	206
892	1709	204
893	1711	202
894	1714	201
895	1715	199
896	1717	197
897	1718	195
898	1720	193
899	1722	191
900	1724	189
901	1726	187
902	1729	185
903	1731	183
904	1733	181
905	1734	180
906	1737	178
907	1740	176
908	1743	174
909	1745	172
910	1748	170
911	1750	168
912	1752	166
913	1754	165
914	1756	163
915	1758	161
916	1760	159
917	1762	157
918	1765	155
919	1767	153
920	1768	151
921	1770	149
922	1775	148
923	1777	146
924	1780	144
925	1782	142
926	1785	140
927	1788	138
928	1790	136
929	1793	134
930	1795	133
931	1797	131
932	1799	129
933	1803	127
934	1805	125
935	1807	123
936	1809	121
937	1812	119
938	1814	117
939	1815	115
940	1819	114
941	1821	112
942	1823	110
943	1825	108
944	1827	106
945	1830	104
946	1832	102
947	1834	100
948	1836	98
949	1838	96
950	1840	94
951	1842	92
952	1846	91
953	1848	89
954	1850	87
955	1852	85
956	1855	83
957	1857	81
958	1859	79
959	1862	77
960	1865	75
961	1866	73
962	1869	71
963	1870	69
964	1872	67
965	1875	66
966	1878	64
967	1881	62
968	1883	60
969	1885	58
970	1888	56
971	1890	54
972	1893	52
973	1895	50
974	1896	48
975	1898	46
976	1901	44
977	1903	42
978	1906	40
979	1908	38
980	1910	37
981	1912	35
982	1914	33
983	1916	31
984	1919	29
985	1920	27
986	1922	25
987	1925	23
988	1927	21
989	1930	19
990	1932	17
991	1934	15
992	1936	13
993	1938	11
994	1939	9
995	1941	7
996	1944	5
997	1945	3
998	1947	1
999	1949	0
